"schema"	"metadatablock_id"	"name"	"title"	"parent"	"description"	"watermark"	"fieldType"	"displayOrder"	"displayFormat"	"advancedSearchField"	"allowControlledVocabulary"	"allowmultiples"	"facetable"	"displayoncreate"	"required"	"termURI"
"Dataverse v4.x"	"citation"	"title"	"Título"	""	"Título completo pelo qual o conjunto de dados é conhecido."	"Digite o título"	"text"	"0"	""	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"TRUE"	"http://purl.org/dc/terms/title"
"Dataverse v4.x"	"citation"	"subtitle"	"Subtítulo"	""	"Um título secundário usado para amplificar ou afirmar certas limitações no título principal."	""	"text"	"1"	""	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"alternativeTitle"	"Título Alternativo"	""	"Um título pelo qual o trabalho é comumente referido ou uma abreviação do título principal."	""	"text"	"2"	""	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"http://purl.org/dc/terms/alternative"
"Dataverse v4.x"	"citation"	"alternativeURL"	"URL Alternativo"	""	"Uma URL em que o conjunto de dados pode ser visualizado, como um site pessoal ou de projeto."	"Digite a URL completa, começando com http://"	"url"	"3"	"<a href=\"#VALUE\" target=\"_blank\">#VALUE</a>"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"https://schema.org/distribution"
"Dataverse v4.x"	"citation"	"otherIdAgency"	"Outro ID: Agência"	"otherId"	"Outro identificador exclusivo que identifica este conjunto de dados (por exemplo, o número atribuído pelo produtor ou em outro repositório): Nome da agência que gerou este identificador."	""	"text"	"5"	"#VALUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"otherIdValue"	"Outro ID: Identificador"	"otherId"	"Outro identificador exclusivo que identifica este conjunto de dados (por exemplo, o número atribuído pelo produtor ou em outro repositório): Outro identificador que corresponde a este conjunto de dados."	""	"text"	"6"	"#VALUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"authorName"	"Autor: Nome"	"author"	"A(s) pessoa(s), corpo(s) corporativo(s) ou agência(s) responsável(is) pela criação do trabalho: O sobrenome e nome próprio do autor (separados por vírgula) ou o nome da organização responsável por este conjunto de dados."	"Sobrenome, Nome ou Organização"	"text"	"8"	"#VALUE"	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"TRUE"	"TRUE"	""
"Dataverse v4.x"	"citation"	"authorAffiliation"	"Autor: Afiliação"	"author"	"A(s) pessoa(s), corpo(s) corporativo(s) ou agência(s) responsável(is) pela criação do trabalho: A organização a qual o autor é afiliado."	""	"text"	"9"	"(#VALUE)"	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"TRUE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"authorIdentifierScheme"	"Autor: Esquema de Identificador"	"author"	"A(s) pessoa(s), corpo(s) corporativo(s) ou agência(s) responsável(is) pela criação do trabalho: Nome do esquema identificador do autor (ORCID, ISNI)."	""	"text"	"10"	"- #VALUE:"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"http://purl.org/spar/datacite/AgentIdentifierScheme"
"Dataverse v4.x"	"citation"	"authorIdentifier"	"Autor: Identificador"	"author"	"A(s) pessoa(s), corpo(s) corporativo(s) ou agência(s) responsável(is) pela criação do trabalho: Identifica um autor individual ou organização de modo exclusivo, de acordo com vários esquemas."	""	"text"	"11"	"#VALUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"http://purl.org/spar/datacite/AgentIdentifier"
